Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocStab,Karate Club,B,S,0.2,0.2,5,0.10969246141889641,0.26040553962631885,0.000754699984099716,20.0,1.0,18.0,0.0
LocStab,Karate Club,B,P,0.2,0.2,5,0.12156166814551908,0.2890781657015423,0.0011564000160433352,28.0,1.0,17.0,-0.01020408163265306
LocStab,Karate Club,AF,Ld,0.2,0.2,5,0.46459109844332386,0.44490358126721763,0.0013830999960191548,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.2,0.2,5,0.12473643324825213,0.2844774273345702,0.0007883000071160495,21.0,1.0,17.0,0.0
LocStab,Karate Club,AF,P,0.2,0.2,5,0.3210474199581912,0.32716778171323624,0.0010593000333756208,17.0,1.0,10.0,0.11772472219166025
LocStab,Karate Club,AE,Ld,0.2,0.2,5,0.10256410256410256,0.26318847098067877,0.0010241999989375472,17.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.2,0.2,5,0.07956439604400489,0.2071550383238695,0.0010554000036790967,18.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.2,0.2,5,0.07243639595600489,0.2234965611588988,0.0011003999970853329,30.0,1.0,20.0,-0.008221308743472948
LocStab,Karate Club,B,Ld,0.25,0.35,5,0.1328306907639428,0.2961901013849066,0.0009883000166155398,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.25,0.35,5,0.10969246141889641,0.26040553962631885,0.000734299945179373,20.0,1.0,18.0,0.0
LocStab,Karate Club,B,P,0.25,0.35,5,0.12156166814551908,0.2890781657015423,0.000775699969381094,28.0,1.0,17.0,-0.01020408163265306
LocStab,Karate Club,AF,Ld,0.25,0.35,5,0.46459109844332386,0.44490358126721763,0.0007770999800413847,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.25,0.35,5,0.12473643324825213,0.2844774273345702,0.0007341000018641353,21.0,1.0,17.0,0.0
LocStab,Karate Club,AF,P,0.25,0.35,5,0.3210474199581912,0.32716778171323624,0.0009033000096678734,17.0,1.0,10.0,0.11772472219166025
LocStab,Karate Club,AE,Ld,0.25,0.35,5,0.10256410256410256,0.26318847098067877,0.0007362000178545713,17.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.25,0.35,5,0.07956439604400489,0.2071550383238695,0.0007878000033088028,18.0,1.0,20.0,0.0
LocStab,Karate Club,AE,P,0.25,0.35,5,0.07243639595600489,0.2234965611588988,0.0012171000125817955,30.0,1.0,20.0,-0.008221308743472948
LocStab,Karate Club,B,Ld,0.4,0.4,5,0.727509778357236,0.30092202170124244,0.0007069999701343477,9.0,1.0,4.0,0.4751811670087547
LocStab,Karate Club,B,S,0.4,0.4,5,0.727509778357236,0.30092202170124244,0.0013099000207148492,36.0,1.0,4.0,0.0
LocStab,Karate Club,B,P,0.4,0.4,5,0.44844801389190364,0.25403384494293585,0.0009280000231228769,14.0,1.0,4.0,0.040156283915780334
LocStab,Karate Club,AF,Ld,0.4,0.4,5,0.727509778357236,0.30092202170124244,0.0008050999604165554,9.0,1.0,4.0,0.4751811670087547
LocStab,Karate Club,AF,S,0.4,0.4,5,0.237200259235256,0.03934521466988993,0.0012442999868653715,30.0,1.0,4.0,0.0
LocStab,Karate Club,AF,P,0.4,0.4,5,0.572538860103627,0.2903525046382188,0.000686999992467463,12.0,1.0,2.0,0.05958549222797927
LocStab,Karate Club,AE,Ld,0.4,0.4,5,0.727509778357236,0.30092202170124244,0.000712399953044951,9.0,1.0,4.0,0.4751811670087547
LocStab,Karate Club,AE,S,0.4,0.4,5,0.727509778357236,0.30092202170124244,0.0007400999893434346,30.0,1.0,4.0,0.0
LocStab,Karate Club,AE,P,0.4,0.4,5,0.44844801389190364,0.25403384494293585,0.0007277000113390386,14.0,1.0,4.0,0.040156283915780334
Louvain,Karate Club,-,-,,,6,0.46459109844332386,0.44490358126721763,0.005727300012949854,,,,
Leiden,Karate Club,-,-,,,6,0.39223854417890813,0.440181031090122,0.013647400017362088,,,,
LocStab,Karate Club,B,Ld,0.2,0.2,6,0.1328306907639428,0.2961901013849066,0.001103399961721152,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.2,0.2,6,0.09840071079520213,0.21484792264013045,0.0010453000431880355,15.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.2,0.2,6,0.10296238766226562,0.27030040666404304,0.0010156999924220145,29.0,1.0,19.0,-0.01420170864307112
LocStab,Karate Club,AF,Ld,0.2,0.2,6,0.39223854417890813,0.440181031090122,0.0008796000038273633,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.2,0.2,6,0.12097669256381798,0.26565281760086956,0.0009954000124707818,19.0,1.0,17.0,0.0
LocStab,Karate Club,AF,P,0.2,0.2,6,0.39076923076923076,0.28581735724592866,0.0009545999928377569,15.0,1.0,11.0,0.1731868131868132
LocStab,Karate Club,AE,Ld,0.2,0.2,6,0.10256410256410256,0.26318847098067877,0.0009454000391997397,17.0,1.0,18.0,0.30170846964740095
LocStab,Karate Club,AE,S,0.2,0.2,6,0.06825255669186304,0.15141207998350853,0.000957000011112541,13.0,1.0,21.0,0.0
LocStab,Karate Club,AE,P,0.2,0.2,6,0.07243639595600489,0.2234965611588988,0.0009960000170394778,31.0,1.0,20.0,-0.008221308743472948
LocStab,Karate Club,B,Ld,0.25,0.35,6,0.1328306907639428,0.2961901013849066,0.0009520999738015234,14.0,1.0,16.0,0.38182148855819326
LocStab,Karate Club,B,S,0.25,0.35,6,0.09840071079520213,0.21484792264013045,0.0010141999810002744,15.0,1.0,19.0,0.0
LocStab,Karate Club,B,P,0.25,0.35,6,0.10296238766226562,0.27030040666404304,0.0010101000079885125,29.0,1.0,19.0,-0.01420170864307112
LocStab,Karate Club,AF,Ld,0.25,0.35,6,0.39223854417890813,0.440181031090122,0.0009414000087417662,0.0,1.0,4.0,1.0
LocStab,Karate Club,AF,S,0.25,0.35,6,0.12097669256381798,0.26565281760086956,0.0010171000030823052,19.0,1.0,17.0,0.0
LocStab,Karate Club,AF,P,0.25,0.35,6,0.39076923076923076,0.28581735724592866,0.0007321999873965979,15.0,1.0,11.0,0.1731868131868132
LocStab,Karate Club,AE,Ld,0.25,0.35,6,0.10256410256410256,0.26318847098067877,0.0007835999713279307,17.0,1.0,18.0,0.30170846964740095
