Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Modularity,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocPop,Jazz,AE,S,0.4,0.4,9,,0.03421803684852579,0.01725919998716563,191.0,1.0,10.0,0.0
Louvain,Random-25,-,-,,,0,0.9070120781473012,0.8531858732333188,0.062046200037002563,,,,
Leiden,Random-25,-,-,,,0,0.9150460593654043,0.853208148172898,0.10164870007429272,,,,
LocPop,Random-25,B,Ld,0.2,0.2,0,0.9396577879292678,0.8363200314819146,0.006542099989019334,36.0,1.0,32.0,0.8581462195638844
LocPop,Random-25,B,S,0.2,0.2,0,0.8987326254093719,0.8232149420294697,0.028060899931006134,243.0,1.0,36.0,0.0
LocPop,Random-25,B,P,0.2,0.2,0,0.9158122308454713,0.8230775799020644,0.023593799909576774,239.0,1.0,35.0,-0.003037135355385409
LocPop,Random-25,AF,Ld,0.2,0.2,0,0.9317074001146249,0.8321100679014408,0.00781400001142174,36.0,1.0,30.0,0.8514758508049384
LocPop,Random-25,AF,S,0.2,0.2,0,0.9047764549883255,0.8209855918265822,0.027471099980175495,247.0,1.0,33.0,0.0
LocPop,Random-25,AF,P,0.2,0.2,0,0.9214196647115873,0.823003330103467,0.02514559996780008,242.0,1.0,34.0,-0.0023784233131667666
LocPop,Random-25,AE,Ld,0.2,0.2,0,0.9319865867762351,0.8270685065766759,0.007548700086772442,41.0,1.0,36.0,0.8499990937145372
LocPop,Random-25,AE,S,0.2,0.2,0,0.8596392333709132,0.7921543950312034,0.025523999938741326,232.0,1.0,38.0,0.0
LocPop,Random-25,AE,P,0.2,0.2,0,0.9003941408318137,0.817965481268632,0.022568300017155707,240.0,1.0,37.0,-0.0028942878992881936
LocPop,Random-25,B,Ld,0.25,0.35,0,0.5627617772788117,0.7389395643764316,0.009908600011840463,78.0,1.0,22.0,0.5908563044614022
LocPop,Random-25,B,S,0.25,0.35,0,0.47462189081975165,0.7100433990072802,0.03336590004619211,273.0,1.0,19.0,0.0
LocPop,Random-25,B,P,0.25,0.35,0,0.4850746563360147,0.7014322786149443,0.023289799923077226,244.0,1.0,20.0,0.0019429207785899608
LocPop,Random-25,AF,Ld,0.25,0.35,0,0.539967121087263,0.7323146260965767,0.01053410000167787,84.0,1.0,21.0,0.5696868511987947
LocPop,Random-25,AF,S,0.25,0.35,0,0.47317065211183723,0.6726419192087941,0.032997500034980476,261.0,1.0,22.0,0.0
LocPop,Random-25,AF,P,0.25,0.35,0,0.5146974853253546,0.7420858995919973,0.02886179997585714,257.0,1.0,17.0,-0.0003045322004735476
LocPop,Random-25,AE,Ld,0.25,0.35,0,0.5887625050155313,0.7267106225474363,0.008789999992586672,63.0,1.0,22.0,0.6201313601975728
LocPop,Random-25,AE,S,0.25,0.35,0,0.5060632051197467,0.665044308567313,0.0318453999934718,266.0,1.0,22.0,0.0
LocPop,Random-25,AE,P,0.25,0.35,0,0.5344201537575439,0.7006433745048466,0.02472339989617467,263.0,1.0,21.0,-0.0018280620038564595
LocPop,Random-25,B,Ld,0.4,0.4,0,0.22196200616972717,0.6181184358537428,0.01864000002387911,190.0,1.0,14.0,0.23275409197147037
LocPop,Random-25,B,S,0.4,0.4,0,0.19955403108134417,0.5959957083616411,0.045695000095292926,373.0,1.0,14.0,0.0
LocPop,Random-25,B,P,0.4,0.4,0,0.19663322043518688,0.6014474998236568,0.02361089992336929,243.0,1.0,12.0,-0.005758178891905315
LocPop,Random-25,AF,Ld,0.4,0.4,0,0.2078984053247319,0.6060324248870474,0.019128500018268824,188.0,1.0,14.0,0.21828334799782062
LocPop,Random-25,AF,S,0.4,0.4,0,0.1863638201637081,0.5847617138338512,0.041411800077185035,336.0,1.0,12.0,0.0
LocPop,Random-25,AF,P,0.4,0.4,0,0.19554229117748176,0.6110220113527942,0.022889800020493567,240.0,1.0,11.0,-0.0042060757678831365
LocPop,Random-25,AE,Ld,0.4,0.4,0,0.22240058038208488,0.6372897338515969,0.019320599967613816,189.0,1.0,14.0,0.23514541305607778
LocPop,Random-25,AE,S,0.4,0.4,0,0.22131857251415404,0.6221687623672321,0.042470999993383884,341.0,1.0,13.0,0.0
LocPop,Random-25,AE,P,0.4,0.4,0,0.20478216450784958,0.6025816654972324,0.022970200050622225,242.0,1.0,13.0,-0.0042410278892002495
Louvain,Random-25,-,-,,,1,0.9150460593654043,0.853208148172898,0.06277369998861104,,,,
Leiden,Random-25,-,-,,,1,0.9076675868320218,0.8533640727499526,0.09611689997836947,,,,
LocPop,Random-25,B,Ld,0.2,0.2,1,0.9396577879292678,0.8363200314819146,0.00620339997112751,31.0,1.0,32.0,0.8642460732831317
LocPop,Random-25,B,S,0.2,0.2,1,0.9150540086905159,0.8175849510508202,0.025399100035429,236.0,1.0,37.0,0.0
LocPop,Random-25,B,P,0.2,0.2,1,0.9278694452707156,0.8253292050445312,0.025835699983872473,251.0,1.0,36.0,-0.006439082430753617
LocPop,Random-25,AF,Ld,0.2,0.2,1,0.9361415656857088,0.8320618055323524,0.006752100074663758,34.0,1.0,30.0,0.8609243620386846
LocPop,Random-25,AF,S,0.2,0.2,1,0.9159687068568799,0.8167496408165993,0.02669720002450049,234.0,1.0,35.0,0.0
LocPop,Random-25,AF,P,0.2,0.2,1,0.91055624340808,0.8224891502481799,0.02369389997329563,251.0,1.0,33.0,-0.008621084972715184
LocPop,Random-25,AE,Ld,0.2,0.2,1,0.9289015016869941,0.8271965874792564,0.006620300002396107,36.0,1.0,36.0,0.8530949468334292
LocPop,Random-25,AE,S,0.2,0.2,1,0.8984051908542092,0.8087362313029726,0.027235499932430685,231.0,1.0,39.0,0.0
LocPop,Random-25,AE,P,0.2,0.2,1,0.9237226127829451,0.8234673913447009,0.023477400070987642,248.0,1.0,37.0,-0.006181330742169437
LocPop,Random-25,B,Ld,0.25,0.35,1,0.5871372846612651,0.6980557690237265,0.009064699988812208,55.0,1.0,23.0,0.639210130868018
LocPop,Random-25,B,S,0.25,0.35,1,0.44741667995535,0.6895077609601984,0.03522259998135269,276.0,1.0,21.0,0.0
LocPop,Random-25,B,P,0.25,0.35,1,0.4537850513591175,0.6595386860013143,0.023032099939882755,244.0,1.0,21.0,-0.006762559038213826
LocPop,Random-25,AF,Ld,0.25,0.35,1,0.5822897069522952,0.7265695479301012,0.009776700055226684,76.0,1.0,18.0,0.6457590363675835
LocPop,Random-25,AF,S,0.25,0.35,1,0.41122420232170076,0.6971387840110483,0.033461299957707524,272.0,1.0,19.0,0.0
LocPop,Random-25,AF,P,0.25,0.35,1,0.45279373926196287,0.6691261912452062,0.0233484999043867,249.0,1.0,21.0,-0.007077856420626896
LocPop,Random-25,AE,Ld,0.25,0.35,1,0.6349816189018147,0.7094679630681502,0.006978899938985705,44.0,1.0,22.0,0.6899110594241742
LocPop,Random-25,AE,S,0.25,0.35,1,0.4594010862444261,0.6723820449137031,0.03735750005580485,263.0,1.0,24.0,0.0
LocPop,Random-25,AE,P,0.25,0.35,1,0.4430293557159069,0.6241159633354495,0.022578699979931116,245.0,1.0,24.0,-0.009798085776074342
LocPop,Random-25,B,Ld,0.4,0.4,1,0.21906687911100217,0.609212172511982,0.019579500076361,191.0,1.0,13.0,0.24699913783140107
LocPop,Random-25,B,S,0.4,0.4,1,0.2177188232313636,0.6219738566459138,0.03819269989617169,301.0,1.0,11.0,0.0
LocPop,Random-25,B,P,0.4,0.4,1,0.22190315649764147,0.6209714843648486,0.02639060001820326,291.0,1.0,11.0,0.00022120676483058225
LocPop,Random-25,AF,Ld,0.4,0.4,1,0.2056736874943394,0.6024814282691258,0.02153240004554391,201.0,1.0,13.0,0.2307126569813623
LocPop,Random-25,AF,S,0.4,0.4,1,0.20692155958164604,0.6051729834682823,0.03924469999037683,320.0,1.0,10.0,0.0
LocPop,Random-25,AF,P,0.4,0.4,1,0.2003259145071081,0.5870875887749155,0.024064900004304945,277.0,1.0,14.0,-0.0029617920994097933
LocPop,Random-25,AE,Ld,0.4,0.4,1,0.23856623628060394,0.6373417087106151,0.019178400048986077,182.0,1.0,12.0,0.2779459054970737
LocPop,Random-25,AE,S,0.4,0.4,1,0.20842456324200048,0.5906979852317151,0.042558199958875775,320.0,1.0,12.0,0.0
LocPop,Random-25,AE,P,0.4,0.4,1,0.19801894884438684,0.5906719978022059,0.025115199969150126,268.0,1.0,13.0,-0.007433837669738641
Louvain,Random-25,-,-,,,2,0.9150460593654043,0.853208148172898,0.05187800002750009,,,,
Leiden,Random-25,-,-,,,2,0.9076675868320218,0.8533640727499526,0.09569869993720204,,,,
LocPop,Random-25,B,Ld,0.2,0.2,2,0.9396577879292678,0.8363200314819146,0.008725299965590239,31.0,1.0,32.0,0.8642460732831317
LocPop,Random-25,B,S,0.2,0.2,2,0.9105222980414552,0.8232409294589789,0.02694170002359897,236.0,1.0,36.0,0.0
LocPop,Random-25,B,P,0.2,0.2,2,0.902957857080534,0.8193706587070883,0.022649599937722087,247.0,1.0,35.0,0.0010935636797254457
