Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Silhouette Score,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocStab,Moons,AE,D,0.25,0.35,4,0.32826481972302424,0.48987714287822703,0.03600580000784248,158.0,1.0,6.0,0.3320387588589363
LocStab,Moons,B,S,0.4,0.4,4,0.29403922078174227,0.38809028365425574,0.08176819991786033,345.0,1.0,4.0,0.0
LocStab,Moons,B,P,0.4,0.4,4,0.3064669498783942,0.3907772806593846,0.048903499962762,254.0,1.0,4.0,0.005493879385855194
LocStab,Moons,B,KM,0.4,0.4,4,0.3064669498783942,0.3907772806593846,0.021372499992139637,86.0,1.0,4.0,0.5787134291187066
LocStab,Moons,B,D,0.4,0.4,4,0.3064669498783942,0.3907772806593846,0.02765860001090914,123.0,1.0,4.0,0.3102430193656576
LocStab,Moons,AF,S,0.4,0.4,4,0.40638111357079987,0.3325217749364494,0.07752020005136728,296.0,1.0,4.0,0.0
LocStab,Moons,AF,P,0.4,0.4,4,0.5362278031849589,0.48825324888487953,0.030340999946929514,150.0,1.0,2.0,-0.003174936495304411
LocStab,Moons,AF,KM,0.4,0.4,4,0.5362278031849589,0.48825324888487953,0.009131500031799078,8.0,1.0,2.0,0.9213371373798076
LocStab,Moons,AF,D,0.4,0.4,4,0.5362278031849589,0.48825324888487953,0.014918899978511035,40.0,1.0,2.0,0.5409912814612331
LocStab,Moons,AE,S,0.4,0.4,4,0.17373484120525312,0.25248876200628,0.08327780000399798,292.0,1.0,8.0,0.0
LocStab,Moons,AE,P,0.4,0.4,4,0.2785375162821556,0.24663305451705203,0.05028530000708997,242.0,1.0,5.0,0.009959653262711731
LocStab,Moons,AE,KM,0.4,0.4,4,0.3064669498783942,0.3907772806593846,0.02363190008327365,86.0,1.0,4.0,0.5787134291187066
LocStab,Moons,AE,D,0.4,0.4,4,0.3064669498783942,0.3907772806593846,0.03100690001156181,123.0,1.0,4.0,0.3102430193656576
KMeans,Moons,-,-,,,5,0.4789688417784687,0.4879604640613249,0.16917240002658218,,,,
DBSCAN,Moons,-,-,,,5,0.9933554078979533,0.01750248885427212,0.005541199934668839,,,,
LocStab,Moons,B,S,0.2,0.2,5,0.22689387754369658,0.47971577572099494,0.11193319992162287,368.0,1.0,10.0,0.0
LocStab,Moons,B,P,0.2,0.2,5,0.23576886397625804,0.46218151738056795,0.07009470008779317,297.0,1.0,10.0,0.0006070659485943731
LocStab,Moons,B,KM,0.2,0.2,5,0.23608261650532836,0.46633722421439433,0.05581630009692162,241.0,1.0,10.0,0.18817784654632974
