Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
LocStab,Cancer,AE,S,0.2,0.2,10,0.12709334151505874,0.02266540088204123,0.024365036226344693,0.00827683848615127,0.4016860899864696,0.0196220504196856,532.7,25.42459439204488,1.0,0.0,80.6,2.3748684174075834,0.0,0.0
LocStab,Cancer,AE,P,0.2,0.2,10,0.26593650592980345,0.02090566727152945,0.028740548827036926,0.016837103602048622,0.1369381699943915,0.003292950216439364,355.1,9.924212815130476,1.0,0.0,60.7,1.5524174696260022,0.09251576470373388,0.018297180485936176
LocStab,Cancer,AE,KM,0.2,0.2,10,0.42556721580556234,0.0012150431188604248,0.05386640475934804,0.006344955928038511,0.08052624000702054,0.0021768958605906164,201.2,2.521904042583698,1.0,0.0,60.6,0.8,0.5705440833067145,0.0034772664413636957
LocStab,Cancer,AE,D,0.2,0.2,10,0.40757072630500735,0.0017441062559365558,0.04718908718074487,0.01392988432224873,0.11006530998274684,0.0026392407168578697,281.5,5.123475382979799,1.0,0.0,60.1,1.5132745950421556,0.0,0.0
LocStab,Cancer,B,S,0.25,0.35,10,0.19869685540055237,0.0010014221437164342,0.1989514116410034,0.010101998624006958,0.5271807699929922,0.03572195808530083,569.9,5.682429058070149,1.0,0.0,22.0,0.0,0.0,0.0
LocStab,Cancer,B,P,0.25,0.35,10,0.1978445168911578,0.0003325779421193438,0.21555448912794045,0.0066081885981211725,0.12669615000486373,0.010271921781219486,357.2,13.753544997563356,1.0,0.0,16.6,0.9165151389911681,-0.0004133117621906546,0.00021145100016852354
LocStab,Cancer,B,KM,0.25,0.35,10,0.1988257615288064,2.7755575615628914e-17,0.22710388077314278,4.6443961262081255e-17,0.0610819699941203,0.0006476840576628638,147.6,1.2,1.0,0.0,15.0,0.0,0.3156662460838045,0.0020726682124534656
LocStab,Cancer,B,D,0.25,0.35,10,0.19789698974845166,0.0,0.21894977595488624,1.2412670766236365e-17,0.04932383998529986,0.0009256928845131903,113.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
LocStab,Cancer,AF,S,0.25,0.35,10,0.1575602839990638,0.02168839186023194,0.1690553758164382,0.01867807612711392,0.5173129800125025,0.0332904555006217,546.5,1.746424919657298,1.0,0.0,23.9,1.5779733838059502,0.0,0.0
LocStab,Cancer,AF,P,0.25,0.35,10,0.13851442821149637,0.05383798473608291,0.25999722920963764,0.04418653124693798,0.09792263996787369,0.010459235723917907,275.4,15.402597183592123,1.0,0.0,11.9,0.9433981132056604,0.005777474657974745,0.005312492069143282
LocStab,Cancer,AF,KM,0.25,0.35,10,0.2248779343045368,0.0013274175478468985,0.35269713422378,0.0004411665020770089,0.04793701998423785,0.0010828744912561707,114.4,0.8,1.0,0.0,10.0,0.0,0.35765304326163505,0.00232122653209017
LocStab,Cancer,AF,D,0.25,0.35,10,0.016458762927001623,3.469446951953614e-18,0.41976509803012807,2.482534153247273e-17,0.014060460031032562,8.613894734717145e-05,10.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0
