Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Silhouette Score,Silhouette Score SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
LocPop,3 Circles,AE,D,0.25,0.35,10,0.4255115220339166,5.551115123125783e-17,0.288695236341017,6.329245045284193e-17,0.026845830009551718,0.0025876754293703797,160.2,1.469693845669907,1.0,0.0,4.0,0.0,0.27313390863712367,0.00038247628989029165
LocPop,3 Circles,B,S,0.4,0.4,10,0.36214404584754967,0.0,0.45664954377581174,4.6443961262081255e-17,0.0725607400003355,0.007198663647353162,337.3,25.659501164286105,1.0,0.0,2.0,0.0,0.0,0.0
LocPop,3 Circles,B,P,0.4,0.4,10,0.45691977801146777,0.03159191072130601,0.47650440240035713,0.006618286208181769,0.036280060006538405,0.006415386984641867,249.2,21.79816506038983,1.0,0.0,2.0,0.0,-0.0003530296618561498,0.0023091267711051297
LocPop,3 Circles,B,KM,0.4,0.4,10,0.46745041491856976,5.551115123125783e-17,0.4787104978030844,5.551115123125783e-17,0.01987469000159763,0.002772278349854205,101.9,3.3000000000000003,1.0,0.0,2.0,0.0,0.4477215524067849,0.013676850187231781
LocPop,3 Circles,B,D,0.4,0.4,10,0.36214404584754967,0.0,0.45664954377581174,4.6443961262081255e-17,0.038717149989679456,0.0049392730415599405,243.2,0.7483314773547882,1.0,0.0,2.0,0.0,0.18411963800860792,0.00020391419564619851
LocPop,3 Circles,AF,S,0.4,0.4,10,0.3656794962335713,5.551115123125783e-17,0.45651207073534383,6.329245045284193e-17,0.07725416000466793,0.018097503068589548,336.3,25.659501164286105,1.0,0.0,2.0,0.0,0.0,0.0
LocPop,3 Circles,AF,P,0.4,0.4,10,0.44709623118157016,0.04070836747399933,0.4742708123895363,0.008879370827096235,0.03696468000416644,0.009956461560796262,237.7,25.741212092673493,1.0,0.0,2.0,0.0,-0.0007187169502202046,0.0023451928871098897
LocPop,3 Circles,AF,KM,0.4,0.4,10,0.46745041491856976,5.551115123125783e-17,0.4787104978030844,5.551115123125783e-17,0.019969810004113242,0.003811461812102664,101.9,3.3000000000000003,1.0,0.0,2.0,0.0,0.4477215524067849,0.013676850187231781
LocPop,3 Circles,AF,D,0.4,0.4,10,0.3656794962335713,5.551115123125783e-17,0.45651207073534383,6.329245045284193e-17,0.038675959996180606,0.004526007592841381,242.4,0.4898979485566356,1.0,0.0,2.0,0.0,0.18809924806153575,0.00020234147633556318
LocPop,3 Circles,AE,S,0.4,0.4,10,0.36214404584754967,0.0,0.45664954377581174,4.6443961262081255e-17,0.06951736999326386,0.0063537648341792305,336.1,26.519615381826334,1.0,0.0,2.0,0.0,0.0,0.0
LocPop,3 Circles,AE,P,0.4,0.4,10,0.45691977801146777,0.03159191072130601,0.47650440240035713,0.006618286208181769,0.03647477000486106,0.00732289784774236,246.4,20.37253052519495,1.0,0.0,2.0,0.0,-0.0003530296618561498,0.0023091267711051297
LocPop,3 Circles,AE,KM,0.4,0.4,10,0.46745041491856976,5.551115123125783e-17,0.4787104978030844,5.551115123125783e-17,0.020282020006561652,0.0016383920458812994,101.9,3.3000000000000003,1.0,0.0,2.0,0.0,0.4477215524067849,0.013676850187231781
LocPop,3 Circles,AE,D,0.4,0.4,10,0.36214404584754967,0.0,0.45664954377581174,4.6443961262081255e-17,0.03632314999122173,0.0038252397581214925,242.4,0.4898979485566356,1.0,0.0,2.0,0.0,0.18411963800860792,0.00020391419564619851
KMeans,Cancer,-,-,,,10,0.6673014390286682,0.006838417318825174,0.34465565222090827,0.0006367057650650626,0.08461938999244012,0.012878699641167703,,,,,,,,
DBSCAN,Cancer,-,-,,,10,0.0,0.0,,,0.0073613799933809785,0.0017080207223179004,,,,,,,,
LocPop,Cancer,B,S,0.2,0.2,10,0.42580957795600305,0.0016774890494768463,0.05767190328289366,0.01574756501458319,0.5001198700047098,0.03672086046577902,579.4,41.52637715958377,1.0,0.0,59.7,1.4866068747318506,0.0,0.0
LocPop,Cancer,B,P,0.2,0.2,10,0.42485826310974845,0.003243047931467519,0.07437307883444513,0.00992834102176316,0.19752495000138878,0.020110942946964205,460.6,11.99333148045196,1.0,0.0,53.8,1.6613247725836149,0.00022635815296571842,0.0015865737117537642
LocPop,Cancer,B,KM,0.2,0.2,10,0.4283473794347513,0.0021174240418482915,0.08785572682018995,0.007996627764877197,0.08989670000155456,0.006130345236941445,202.3,2.6095976701399777,1.0,0.0,54.8,1.0770329614269007,0.5610214473250023,0.0030896827433060394
LocPop,Cancer,B,D,0.2,0.2,10,0.42749556871710837,0.0017549967063664497,0.08767237854627499,0.00822192709831609,0.12622416000231168,0.0066153512250246025,295.7,1.9519221295943134,1.0,0.0,52.4,1.0198039027185568,0.0,0.0
LocPop,Cancer,AF,S,0.2,0.2,10,0.4282493484764375,0.0028020260896337496,0.08080434910954225,0.0151005665370444,0.5106109800050035,0.03698174619793586,586.0,40.52159917870962,1.0,0.0,53.4,1.2806248474865698,0.0,0.0
LocPop,Cancer,AF,P,0.2,0.2,10,0.4263411736073606,0.0025743520908293265,0.09787191730732882,0.007559268747295553,0.20070079999859444,0.020385587403666333,464.7,11.03675676999362,1.0,0.0,51.3,1.4177446878757824,0.0003014675959662111,0.00167173464874883
LocPop,Cancer,AF,KM,0.2,0.2,10,0.4287323870051301,0.0015275866761386538,0.0969293177357721,0.002857731496964436,0.1004442699952051,0.008271850453895323,209.5,4.6097722286464435,1.0,0.0,52.1,0.5385164807134504,0.5610099503188318,0.0030881853222652204
LocPop,Cancer,AF,D,0.2,0.2,10,0.42889077233985606,0.0023164302454005484,0.09922762591722109,0.007821067282650952,0.13621623000362887,0.01355052701354552,306.7,5.496362433464518,1.0,0.0,50.3,0.45825756949558394,0.0,0.0
LocPop,Cancer,AE,S,0.2,0.2,10,0.4241935863630914,0.0016934348681724952,0.054962514670353325,0.01253032693714313,0.5174859400023706,0.050200994653721104,576.0,42.26345939461179,1.0,0.0,61.8,1.661324772583615,0.0,0.0
